name ,team,image,
Rashid Khan,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FRashid%20Khan%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Mujeeb Ur Rahman,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMujeeb%20Ur%20Rahman%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Fareed Ahmad,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FFareed%20Ahmad%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1,done 
Fazalhaq Farooqi,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FFazalhaq%20Farooqi%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Jos Buttler,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316642.png",
Alex Hales,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png",
Dawid Malan,England,,
Ben Stokes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png",
Liam Livingstone,England,,
Harry Brook,England,,
Moeen Ali,England,,
Chris Woakes,England,,
Mark Wood,England,,
Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png",
Adil Rashid,England,,
Mohammad Nabi,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMohammad%20Nabi%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Muhammad Waseem,U.A.E.,,
Vriitya Aravind,U.A.E.,,
Chundangapoyil Rizwan,U.A.E.,,
Alishan Sharafu,U.A.E.,,
Basil Hameed,U.A.E.,,
Zane Green,Namibia,,
Ruben Trumpelmann,Namibia,,
Junaid Siddique,U.A.E.,,
Zahoor Khan,U.A.E.,,
Ahmed Raza,U.A.E.,,
Karthik Meiyappan,U.A.E.,,
Aayan Afzal Khan,U.A.E.,,
Chirag Suri,U.A.E.,,
Kashif Daud,U.A.E.,,
Zawar Farid,U.A.E.,,
Vikramjit Singh,Netherlands,,
Max O'Dowd,Netherlands,,
Bas de Leede,Netherlands,,
Colin Ackermann,Netherlands,,
Tom Cooper,Netherlands,,
Scott Edwards,Netherlands,,
Roelof van der Merwe,Netherlands,,
Tim Pringle,Netherlands,,
Logan van Beek,Netherlands,,
Fred Klaassen,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324241.png",
Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322644.png",
Kyle Mayers,West Indies,,
Johnson Charles,West Indies,,
Evin Lewis,West Indies,,
Brandon King,West Indies,,
Nicholas Pooran,West Indies,,
Rovman Powell,West Indies,,
Odean Smith,West Indies,,
Obed McCoy,West Indies,,
Akeal Hosein,West Indies,,
Alzarri Joseph,West Indies,,
Jason Holder,West Indies,,
